"Species"	"Long"	"Lat"	"optional"
"1"	"Aedes aegypti"	579011.061100671	1343793.23282878	TRUE
"2"	"Aedes aegypti"	579011.061100671	1343793.23282878	TRUE
"3"	"Aedes aegypti"	579066.577999386	1343783.42810976	TRUE
"4"	"Aedes aegypti"	579021.97992861	1343778.88550471	TRUE
"5"	"Aedes aegypti"	578472.384615135	1349969.26313999	TRUE
"6"	"Aedes aegypti"	578464.582780227	1349998.6589134	TRUE
"7"	"Aedes aegypti"	572878.504186153	1353172.99081186	TRUE
"8"	"Aedes aegypti"	578499.497537889	1350000.30015335	TRUE
"9"	"Aedes aegypti"	572826.582905233	1353056.74519902	TRUE
"10"	"Aedes aegypti"	579937.036133909	1347801.23644739	TRUE
"11"	"Aedes aegypti"	578326.037943911	1347729.45819507	TRUE
"12"	"Aedes aegypti"	579082.125630793	1348138.44011585	TRUE
"13"	"Aedes aegypti"	584668.540270054	1338225.21735707	TRUE
"14"	"Aedes aegypti"	584668.540270054	1338225.21735707	TRUE
"15"	"Aedes aegypti"	579937.036133909	1347801.23644739	TRUE
"16"	"Aedes aegypti"	581413.533716788	1341796.98114479	TRUE
"17"	"Aedes aegypti"	584491.710033664	1343760.81396764	TRUE
"18"	"Aedes aegypti"	584496.002298328	1343781.83822073	TRUE
"19"	"Aedes aegypti"	582489.555508429	1340282.67675298	TRUE
"20"	"Aedes aegypti"	582489.555508429	1340282.67675298	TRUE
"21"	"Aedes aegypti"	572539.047719262	1353211.96259715	TRUE
"22"	"Aedes aegypti"	572539.047719262	1353211.96259715	TRUE
"23"	"Aedes aegypti"	572539.047719262	1353211.96259715	TRUE
"24"	"Aedes aegypti"	572539.047719262	1353211.96259715	TRUE
"25"	"Aedes aegypti"	572539.047719262	1353211.96259715	TRUE
"26"	"Aedes aegypti"	580516.217232928	1348048.31807572	TRUE
"27"	"Aedes aegypti"	581413.533716788	1341796.98114479	TRUE
"28"	"Aedes aegypti"	575305.287075213	1348868.39112544	TRUE
"29"	"Aedes aegypti"	583007.568464016	1337153.35282646	TRUE
"30"	"Aedes aegypti"	584651.244575434	1338184.25013278	TRUE
"31"	"Aedes aegypti"	582089.497729418	1340926.29977064	TRUE
"32"	"Aedes aegypti"	568458.976192427	1352345.12978133	TRUE
"33"	"Aedes aegypti"	570031.186517691	1353065.43475196	TRUE
"34"	"Aedes aegypti"	572603.076086597	1351949.21190962	TRUE
"35"	"Aedes aegypti"	577010.361930883	1348715.75940824	TRUE
"36"	"Aedes aegypti"	582992.520442297	1337085.85177831	TRUE
"37"	"Aedes aegypti"	582489.555508429	1340282.67675298	TRUE
"38"	"Aedes aegypti"	582489.555508429	1340282.67675298	TRUE
"39"	"Aedes aegypti"	572600.870604497	1351961.37108241	TRUE
"40"	"Aedes aegypti"	572600.870604497	1351961.37108241	TRUE
"41"	"Aedes scapularis"	579104.724972333	1343799.78648499	TRUE
"42"	"Aedes scapularis"	572950.203695584	1353208.55670017	TRUE
"43"	"Aedes sp."	571120.83450317	1356433.66520882	TRUE
"44"	"Aedes sp."	579084.682540506	1343115.52374274	TRUE
"45"	"Aedes taeniorhynchus"	584668.540270054	1338225.21735707	TRUE
"46"	"Aedes taeniorhynchus"	584668.540270054	1338225.21735707	TRUE
"47"	"Aedes taeniorhynchus"	582087.333653317	1340921.87023488	TRUE
"48"	"Aedes taeniorhynchus"	584651.244575434	1338184.25013278	TRUE
"49"	"Aedes taeniorhynchus"	584651.244575434	1338184.25013278	TRUE
"50"	"Aedes taeniorhynchus"	582110.163537367	1340929.6746169	TRUE
"51"	"Aedes taeniorhynchus"	570789.935136216	1357494.50353121	TRUE
"52"	"Aedes taeniorhynchus"	570812.65099568	1357500.08780191	TRUE
"53"	"Aedes taeniorhynchus"	570854.426304802	1357494.2170852	TRUE
"54"	"Aedes taeniorhynchus"	570874.15795463	1357519.58934307	TRUE
"55"	"Aedes taeniorhynchus"	571031.337209916	1356429.68828119	TRUE
"56"	"Aedes taeniorhynchus"	570858.640628714	1357505.39661157	TRUE
"57"	"Aedes taeniorhynchus"	582582.994248638	1337986.0093628	TRUE
"58"	"Aedes taeniorhynchus"	584668.540270054	1338225.21735707	TRUE
"59"	"Aedes taeniorhynchus"	582489.555508429	1340282.67675298	TRUE
"60"	"Aedes taeniorhynchus"	585037.267888163	1339054.58315767	TRUE
"61"	"Aedes taeniorhynchus"	584652.216339121	1338225.17087473	TRUE
"62"	"Aedes taeniorhynchus"	575272.603565174	1348887.1076001	TRUE
"63"	"Aedes taeniorhynchus"	583009.751229209	1337151.14714256	TRUE
"64"	"Aedes taeniorhynchus"	583009.751229209	1337151.14714256	TRUE
"65"	"Aedes taeniorhynchus"	583009.751229209	1337151.14714256	TRUE
"66"	"Aedes taeniorhynchus"	583024.735195367	1336851.49371948	TRUE
"67"	"Aedes taeniorhynchus"	583024.735195367	1336851.49371948	TRUE
"68"	"Aedes taeniorhynchus"	584651.244575434	1338184.25013278	TRUE
"69"	"Aedes taeniorhynchus"	584651.244575434	1338184.25013278	TRUE
"70"	"Aedes taeniorhynchus"	584651.244575434	1338184.25013278	TRUE
"71"	"Aedes taeniorhynchus"	582089.497729418	1340926.29977064	TRUE
"72"	"Aedes taeniorhynchus"	569421.456598864	1351024.76835898	TRUE
"73"	"Aedes taeniorhynchus"	579084.682540506	1343115.52374274	TRUE
"74"	"Aedes taeniorhynchus"	581290.223085712	1329962.60420561	TRUE
"75"	"Aedes taeniorhynchus"	584237.786908857	1332918.9369642	TRUE
"76"	"Anopheles rondoni"	570858.640628714	1357505.39661157	TRUE
"77"	"Anopheles rondoni"	570858.640628714	1357505.39661157	TRUE
"78"	"Anopheles rondoni"	570858.640628714	1357505.39661157	TRUE
"79"	"Anopheles rondoni"	570858.640628714	1357505.39661157	TRUE
"80"	"Culex erraticus"	578971.249084693	1341584.68187327	TRUE
"81"	"Culex erraticus"	571996.474260607	1354024.55186821	TRUE
"82"	"Culex erraticus"	570858.640628714	1357505.39661157	TRUE
"83"	"Culex erraticus"	578757.434790851	1343834.58051131	TRUE
"84"	"Culex erraticus"	578757.434790851	1343834.58051131	TRUE
"85"	"Culex erraticus"	579151.479594273	1341734.45629508	TRUE
"86"	"Culex erraticus"	578971.249084693	1341584.68187327	TRUE
"87"	"Culex erraticus"	578971.249084693	1341584.68187327	TRUE
"88"	"Culex erraticus"	578971.249084693	1341584.68187327	TRUE
"89"	"Culex erraticus"	582668.963811027	1343455.97179038	TRUE
"90"	"Culex maracayensis"	570159.626844447	1351202.351313	TRUE
"91"	"Culex maracayensis"	578528.562016215	1350115.38970049	TRUE
"92"	"Culex nigripalpus"	583168.977171186	1345569.62610578	TRUE
